FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,Hygiene,Structural,ConfidenceInManagement,NewRatingPending,Longitude,Latitude,AddressLine4
1427805,21/00777/COMM,Therapie Clinic Belgravia,Restaurant/Cafe/Canteen,1,"CHANTREY HOUSE, 4 ECCLESTON STREET",,LONDON,SW1W 9LN,5,fhrs_5_en-GB,2022-11-17,533,Westminster,,,,FALSE,-0.1471753,51.4944264,
1427796,00269/0147/0/000,Therapie Clinic Victoria St,Restaurant/Cafe/Canteen,1,147 VICTORIA STREET,,LONDON,SW1E 5NH,5,fhrs_5_en-GB,2021-11-18,533,Westminster,0,0,0,FALSE,-0.1395759,51.4967252,
1415416,00283/0045/0/000,Therapie London Central Wigmore St,Retailers - other,4613,45-47 WIGMORE STREET,,LONDON,W1U 1PS,5,fhrs_5_en-GB,2021-10-19,533,Westminster,0,0,0,FALSE,-0.1491322,51.5161657,
410963,001382/0053/0/001,Thirst,Restaurant/Cafe/Canteen,1,23-24 BATEMAN STREET,,LONDON,W1D 3AW,5,fhrs_5_en-GB,2020-09-24,533,Westminster,5,5,5,FALSE,-0.1312217,51.514281,
413394,01176/0090/0/000,Thistle Hotel Hyde Park,Hotel/bed & breakfast/guest house,7842,90-92 LANCASTER GATE,,LONDON,W2 3NL,4,fhrs_4_en-GB,2018-07-31,533,Westminster,5,10,0,FALSE,-0.1809052,51.5113031,
414337,01614/4000/0/000,Thistle Hotel Trafalgar Square,Hotel/bed & breakfast/guest house,7842,"ROYAL TRAFALGAR THISTLE HOTEL, WHITCOMB STREET",,LONDON,WC2H 7HG,5,fhrs_5_en-GB,2023-03-10,533,Westminster,5,5,0,FALSE,,,
412037,00628/0104/0/000,Thistle Kensington Gardens,Hotel/bed & breakfast/guest house,7842,"KENSINGTON GARDENS HOTEL, 104 BAYSWATER ROAD",,LONDON,W2 3HL,5,fhrs_5_en-GB,2022-12-10,533,Westminster,0,5,0,FALSE,-0.184123,51.5108404,
412618,00903/4000/0/001,Thistle Marble Arch Hotel,Hotel/bed & breakfast/guest house,7842,"HOTEL, BRYANSTON STREET",,LONDON,W1H 7EH,2,fhrs_2_en-GB,2022-09-30,533,Westminster,10,15,10,FALSE,,,
413577,01266/0039/0/001,Thistle Piccadilly,Hotel/bed & breakfast/guest house,7842,"THISTLE HOTEL, 39 COVENTRY STREET",,LONDON,W1D 6BZ,5,fhrs_5_en-GB,2022-05-28,533,Westminster,5,5,5,FALSE,-0.1514385,51.5147363,
1302720,20/00555/COMM,Thomas Franks @ Prince'S Garden Preparatory School,Other catering premises,7841,"GARDEN HALL OF RESIDENCE IMPERIAL COLLEGE, 10-12 PRINCES GARDENS",,LONDON,SW7 1ND,5,fhrs_5_en-GB,2023-04-20,533,Westminster,5,0,5,FALSE,-0.1725305,51.5001839,
1609828,23/00176/COMM,Thonglor,Restaurant/Cafe/Canteen,1,81 BOUNDARY ROAD,,LONDON,NW8 0RG,AwaitingInspection,fhrs_awaitinginspection_en-GB,,533,Westminster,,,,FALSE,-0.1846556,51.5376647,
413640,01317/0029/A/000,Thornbury Castle Public House,Restaurant/Cafe/Canteen,1,29A ENFORD STREET,,LONDON,W1H 1DN,5,fhrs_5_en-GB,2017-08-15,533,Westminster,0,0,0,FALSE,-0.1625382,51.5207739,
428025,01121/0019/0/000,Three Crowns Public House,Restaurant/Cafe/Canteen,1,19 BABMAES STREET,,LONDON,SW1Y 6HD,5,fhrs_5_en-GB,2022-06-20,533,Westminster,5,5,5,FALSE,-0.1351849,51.5086427,
410989,00154/0001/0/000,Three Falcons Hotel And Bar,Restaurant/Cafe/Canteen,1,1 ORCHARDSON STREET,,LONDON,NW8 8NG,4,fhrs_4_en-GB,2022-08-22,533,Westminster,10,5,5,FALSE,-0.1746143,51.5241009,
428094,01382/0025/0/000,Three Greyhounds Public House,Restaurant/Cafe/Canteen,1,"THE THREE GREYHOUNDS PUBLIC HOUSE, 25 GREEK STREET",,LONDON,W1D 5DD,5,fhrs_5_en-GB,2020-10-29,533,Westminster,0,0,0,FALSE,,,
427825,00563/0001/0/000,Three Tuns Public House,Restaurant/Cafe/Canteen,1,1 PORTMAN MEWS SOUTH,,LONDON,W1H 6HP,5,fhrs_5_en-GB,2023-04-24,533,Westminster,0,0,0,FALSE,,,
1112335,19/00113/COMM,Thunderbird Fried Chicken,Takeaway/sandwich shop,7844,29 VILLIERS STREET,,LONDON,WC2N 6ND,4,fhrs_4_en-GB,2022-01-06,533,Westminster,5,10,5,FALSE,-0.1236767,51.5081444,
1226834,20/00106/COMM,Thunderbird Fried Chicken,Takeaway/sandwich shop,7844,"CONCESSION AT, 5 KINGDOM STREET",,LONDON,,4,fhrs_4_en-GB,2020-07-24,533,Westminster,0,10,5,FALSE,,,
1470376,22/00132/COMM,Thyme And Tahini,Retailers - other,4613,508-510 EDGWARE ROAD,,LONDON,W2 1EN,4,fhrs_4_en-GB,2023-01-12,533,Westminster,,,,FALSE,-0.1763651,51.5246587,
1438226,22/00002/COMM,Tianfu Lucky Foods,Retailers - other,4613,14 GERRARD STREET,,LONDON,W1D 5PT,3,fhrs_3_en-GB,2022-01-20,533,Westminster,10,5,10,FALSE,,,
410888,00095/0026/0/000,Tiger Tiger,Restaurant/Cafe/Canteen,1,"HAYMARKET HOUSE, 28-29 HAYMARKET",,LONDON,SW1Y 4SP,4,fhrs_4_en-GB,2023-02-27,533,Westminster,5,10,0,FALSE,-0.1325072,51.5096343,
1537480,22/00520/COMM,Tik Tok,Other catering premises,7841,5 MERCHANT SQUARE,CITY OF WESTMINSTER,LONDON,W2 1AY,AwaitingInspection,fhrs_awaitinginspection_en-GB,,533,Westminster,,,,FALSE,-0.1733261,51.5188291,
1537481,22/00521/COMM,Tik Tok,Other catering premises,7841,80 STRAND,,LONDON,WC2R 0RL,AwaitingInspection,fhrs_awaitinginspection_en-GB,,533,Westminster,,,,FALSE,-0.1219415,51.5100411,
1427798,01137/0027/0/001,Tila,Restaurant/Cafe/Canteen,1,"GROUND FLOOR, 27 BRUTON PLACE",,LONDON,W1J 6NQ,5,fhrs_5_en-GB,2023-01-23,533,Westminster,,,,FALSE,-0.1449859,51.5107316,
